12596 49697
5851 6213 109588
10477 5650 21758
2573 7338 592517
8018 6459 339264
11197 9188 30030
4618 9793 243298
2938 11897 366726
1544 12356 52277
5646 870 53779
3756 9536 750962
8089 9555 557208
4323 10528 148501
6882 10508 17853
1100 842 861405
833 11542 843201
2146 2734 284145
4495 6532 160658
1627 8697 9540
3273 9960 870930
5373 6318 86822
11968 6616 694477
7880 121 377318
2915 2716 122602
9664 749 700997
5718 4058 934031
1257 6072 838491
11340 10096 161135
1655 6672 419644
1050 6980 87008
7388 739 213589
4234 421 36787
1651 2342 90938
1471 11870 330779
5451 9597 335299
3505 10865 967894
10501 4658 616028
8522 7706 570508
4852 11969 995887
1362 11957 436388
9552 3223 488858
10532 1718 417979
7684 10031 608976
7448 6427 134702
2114 5763 900567
11998 9744 911440
11853 7065 266305
2350 2259 150940
985 9033 861310
6031 8379 452750
1196 9437 535861
7595 8401 626294
7528 6621 48207
11276 4726 381584
3951 8341 862920
5012 9050 858474
9540 7167 222242
4352 8694 200264
4387 6106 409194
11682 11814 573543
1227 1875 958500
6636 10724 302873
9751 4583 44555
10229 6170 94784
1567 7456 281702
2410 114 383478
11978 3358 456305
2422 6055 189029
6946 4393 125589
4386 11348 116924
2317 7279 552042
11131 3619 595832
3167 11717 825894
1158 11270 751736
5281 3232 296467
3285 10158 96109
10815 12573 555633
1202 11626 291555
1710 3456 827914
11870 8872 884360
8724 1068 210713
1351 11111 24032
9670 6060 995196
11995 12266 742506
1673 3670 571957
275 6108 913788
10818 5275 283232
9055 2651 632327
2342 11889 597847
8379 87 577033
1315 5301 543075
8761 5324 387425
7753 10464 570844
9988 2016 524758
9589 2979 20944
2069 9791 492638
10677 6542 728864
5830 2859 309329
10367 4968 690857
1080 5603 646905
10643 7869 596829
7852 1960 449812
2973 877 59152
1977 5075 801687
6623 9199 994266
7691 5315 223904
4873 4567 66143
118 7713 424001
11413 4520 665036
12165 11226 400378
5354 111 405563
7493 4356 725547
1059 2047 671826
3344 2415 695093
3305 7057 209872
2795 94 112061
4130 2277 668050
10693 7718 330578
3858 12120 950862
7055 2446 869008
1131 5455 291515
9933 8413 815891
11112 10944 529737
7273 3666 76954
5263 7257 445040
4904 9581 686035
8656 674 386962
6042 4290 940493
10055 8976 958399
2950 3917 252976
10175 4741 33348
7977 5209 617068
2467 11451 892551
10725 7428 74860
10739 6540 931023
10590 7348 823236
9196 1435 459006
3189 4012 206195
11020 1995 551347
2169 12323 133729
10944 4514 34754
3839 937 558973
9988 2926 683310
2433 7440 267229
4825 3881 118824
2965 8199 839974
11925 196 866837
748 67 953616
18 8883 775911
10460 7596 696977
8001 10291 573094
7861 1950 527819
5768 8493 82913
5133 1923 562035
7759 803 100722
8322 4713 352652
11260 4409 360210
1761 7288 97490
3268 11549 320231
9505 8094 601078
9899 680 284907
1743 3148 798724
10163 10761 697077
2764 64 461728
10722 622 201613
11301 8214 683770
11425 3202 742827
124 103 811265
9749 11517 68905
12082 8301 437948
9720 1275 582131
7698 4768 43054
5542 2435 710226
1950 10701 624506
7113 9854 485593
7129 9429 967319
776 8844 230049
7566 5222 875762
8154 9984 165774
9024 5636 589849
2125 8920 626504
1109 11247 63144
8284 12396 723507
2938 9133 382546
10973 4763 252482
2744 3922 617283
8165 1142 823264
654 5250 35187
11958 11615 607741
7299 3761 15093
4203 11994 640184
2150 4754 576416
5507 3643 406347
10299 8789 311327
10673 5782 315756
1780 10348 538861
10037 784 872065
7709 9677 456942
6305 4394 430028
3294 10138 859076
1674 9863 372472
6934 6885 417729
5966 7628 622447
12395 7343 504073
8465 2571 691510
8004 1673 207094
5499 5763 936146
12201 3712 684441
7033 9757 759290
1232 10116 161620
10386 7312 464525
6956 1208 383660
3881 1209 843418
6410 2662 555166
1755 1989 61662
11185 3876 383635
11717 8783 20543
9131 10485 15937
3504 4231 238355
1499 3716 171860
10969 11008 458096
12317 1134 743105
10553 5608 682081
791 8787 682038
4653 7468 929814
4178 46 422726
6381 11193 12969
71 12314 518222
3579 5739 505256
11042 524 303678
5061 5383 798600
9338 10474 602914
9110 12565 675315
8741 8977 661432
8028 11205 853038
7592 7111 610283
8603 2941 22902
4934 11045 994746
3255 2526 858172
3842 2641 268319
5584 6631 265870
9352 1387 506406
2322 12219 800727
8138 1097 284931
1850 10387 293538
11402 11762 571413
7439 6517 277180
6047 11911 824418
8489 4700 790524
5044 6749 754054
4797 12193 280821
8914 3568 781030
5886 8412 512958
6171 12152 641314
840 3409 876774
4480 9424 775076
8008 8197 909029
1437 1817 837564
9141 11161 411104
10996 2525 636201
10115 5143 381162
9206 2356 650389
2936 5194 823008
10437 6238 837076
4175 8700 961387
7889 5497 307452
1703 1947 666328
7582 2449 376666
4045 6231 854947
3425 7608 547762
8913 3623 434178
6636 10153 822998
9600 1431 355567
8152 7975 2332
713 8163 371415
6428 6044 818276
12074 11850 493238
1421 2185 987591
11056 4359 80685
5495 11698 167580
